District,DBN,school_name,School_Year,Start_Date,Indicator_1.1,Indicator_1.2,Indicator_1.3,Indicator_1.4,Indicator_4.1,Indicator_4.2
24,24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School ",2017,1/18/2018,WD,WD,P,WD,P,WD
24,24Q311,Corona Arts & Sciences Academy ,2016,1/4/2017,P,P,P,P,WD,P
24,24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology ",2016,11/15/2016,P,P,P,WD,P,WD
31,31R002,I.S. R002 George L. Egbert ,2016,11/29/2016,P,D,P,P,D,P
31,31R024,I.S. 024 Myra S. Barnes ,2016,4/25/2017,P,P,P,WD,P,D
31,31R027,I.S. 027 Anning S. Prall ,2016,11/9/2016,D,D,P,WD,P,P
31,31R028,The Eagle Academy for Young Men of Staten Island ,2016,2/16/2017,P,D,P,WD,WD,P
31,31R034,I.S. 034 Tottenville ,2019,2/5/2020,WD,P,WD,WD,P,WD
31,31R048,P.S. 048 William G. Wilcox ,2018,2/14/2019,P,P,WD,P,P,P
31,31R049,I.S. 49 Berta A. Dreyfus ,2015,2/9/2016,P,D,No Data,No Data,No Data,D
31,31R049,I.S. 49 Berta A. Dreyfus ,2016,3/2/2017,D,D,P,D,P,D
31,31R051,I.S. 051 Edwin Markham ,2016,3/21/2017,P,D,P,P,D,P
31,31R061,I.S. 061 William A Morris ,2018,11/14/2018,P,P,P,WD,P,P
31,31R063,Marsh Avenue School for Expeditionary Learning ,2018,5/24/2019,WD,WD,WD,WD,P,P
31,31R072,I.S. 072 Rocco Laurie ,2017,5/15/2018,P,D,P,D,P,D
31,31R075,I.S. 075 Frank D. Paulo ,2015,5/17/2016,WD,P,No Data,No Data,No Data,P
31,31R080,The Michael J. Petrides School ,2015,5/24/2016,WD,WD,No Data,No Data,No Data,WD
31,31R861,Staten Island School of Civic Leadership ,2017,1/18/2018,WD,P,WD,WD,WD,WD
