,District,School_DBN,School_Name,Year,% Female,% Male,% Asian,% Black,% Hispanic,% White,% Poverty
50,2,02M104,J.H.S. 104 Simon Baruch,2013-14,47.1,52.9,50.3,9.9,19.1,19.4,66.6
51,2,02M104,J.H.S. 104 Simon Baruch,2014-15,48.2,51.8,44.6,8.9,20.1,24.4,62.2
52,2,02M104,J.H.S. 104 Simon Baruch,2015-16,43.9,56.1,39.6,8.1,21.1,28.0,55.8
53,2,02M104,J.H.S. 104 Simon Baruch,2016-17,44.9,55.1,36.0,7.5,18.8,33.9,46.2
54,2,02M104,J.H.S. 104 Simon Baruch,2017-18,46.6,53.4,33.7,7.5,19.0,34.7,43.8
55,2,02M114,East Side Middle School,2013-14,52.4,47.6,12.2,3.4,9.9,72.9,14.0
56,2,02M114,East Side Middle School,2014-15,51.4,48.6,14.7,3.1,10.2,67.9,11.4
57,2,02M114,East Side Middle School,2015-16,52.2,47.8,15.0,2.9,9.1,65.8,9.3
58,2,02M114,East Side Middle School,2016-17,52.1,47.9,14.0,3.2,9.0,65.2,7.0
59,2,02M114,East Side Middle School,2017-18,54.9,45.1,12.2,3.6,8.9,67.6,10.9
60,2,02M126,P.S. 126 Jacob August Riis,2013-14,50.1,49.9,56.1,9.8,23.2,10.0,79.0
61,2,02M126,P.S. 126 Jacob August Riis,2014-15,49.8,50.2,55.5,11.3,21.8,9.5,78.9
62,2,02M126,P.S. 126 Jacob August Riis,2015-16,47.8,52.2,58.6,11.1,20.7,7.6,80.1
63,2,02M126,P.S. 126 Jacob August Riis,2016-17,46.8,53.2,59.5,9.9,20.1,7.8,79.6
64,2,02M126,P.S. 126 Jacob August Riis,2017-18,46.0,54.0,62.1,9.3,18.0,7.9,79.6
65,2,02M131,M.S. 131,2013-14,47.0,53.0,75.1,9.9,14.6,0.2,96.9
66,2,02M131,M.S. 131,2014-15,47.0,53.0,80.0,8.1,11.6,0.2,95.3
67,2,02M131,M.S. 131,2015-16,44.0,56.0,77.1,8.1,14.3,0.5,95.5
68,2,02M131,M.S. 131,2016-17,42.2,57.8,83.6,5.7,9.4,0.7,93.7
69,2,02M131,M.S. 131,2017-18,43.3,56.7,81.4,6.0,10.6,1.8,93.3
70,2,02M167,J.H.S. 167 Robert F. Wagner,2013-14,46.4,53.6,28.1,8.3,23.1,38.5,47.2
71,2,02M167,J.H.S. 167 Robert F. Wagner,2014-15,46.7,53.3,27.5,9.7,21.8,38.3,47.1
72,2,02M167,J.H.S. 167 Robert F. Wagner,2015-16,47.2,52.8,27.7,8.3,18.7,41.8,44.2
73,2,02M167,J.H.S. 167 Robert F. Wagner,2016-17,47.5,52.5,23.3,8.1,17.3,47.0,33.6
74,2,02M167,J.H.S. 167 Robert F. Wagner,2017-18,47.3,52.7,21.0,6.0,15.9,52.1,30.6
75,2,02M177,Yorkville East Middle School,2014-15,44.6,55.4,12.5,8.9,28.6,42.9,35.7
76,2,02M177,Yorkville East Middle School,2015-16,45.1,54.9,11.3,10.6,29.6,42.3,37.3
77,2,02M177,Yorkville East Middle School,2016-17,48.4,51.6,9.9,10.3,26.8,47.9,28.6
78,2,02M177,Yorkville East Middle School,2017-18,49.8,50.2,8.6,12.0,25.3,49.4,34.3
79,2,02M217,P.S./I.S. 217 Roosevelt Island,2013-14,52.5,47.5,27.2,22.0,17.2,31.5,40.2
80,2,02M217,P.S./I.S. 217 Roosevelt Island,2014-15,49.8,50.2,27.8,18.5,15.9,34.3,35.3
81,2,02M217,P.S./I.S. 217 Roosevelt Island,2015-16,48.2,51.8,29.1,15.7,14.3,36.3,36.1
82,2,02M217,P.S./I.S. 217 Roosevelt Island,2016-17,49.9,50.1,29.4,13.2,15.2,38.0,33.6
83,2,02M217,P.S./I.S. 217 Roosevelt Island,2017-18,51.0,49.0,30.0,11.4,14.9,38.5,33.8
84,2,02M225,Ella Baker School,2013-14,53.6,46.4,5.0,24.5,43.9,21.9,42.6
85,2,02M225,Ella Baker School,2014-15,48.9,51.1,3.7,21.1,41.8,27.9,43.3
86,2,02M225,Ella Baker School,2015-16,51.9,48.1,3.6,18.5,37.0,35.2,40.0
87,2,02M225,Ella Baker School,2016-17,50.5,49.5,5.8,16.7,37.6,32.8,36.3
88,2,02M225,Ella Baker School,2017-18,49.7,50.3,5.6,16.6,32.2,37.2,33.4
89,2,02M255,M.S. 255 Salk School of Science,2013-14,56.9,43.1,20.9,4.8,10.1,61.6,16.1
90,2,02M255,M.S. 255 Salk School of Science,2014-15,60.3,39.7,21.4,3.8,8.5,63.6,11.2
91,2,02M255,M.S. 255 Salk School of Science,2015-16,61.2,38.8,18.7,3.2,9.4,62.6,11.2
92,2,02M255,M.S. 255 Salk School of Science,2016-17,58.2,41.8,18.5,2.3,10.3,61.0,10.8
93,2,02M255,M.S. 255 Salk School of Science,2017-18,58.0,42.0,16.6,1.8,11.4,61.4,10.6
94,2,02M260,M.S. 260 Clinton School Writers & Artists,2013-14,70.7,29.3,14.3,11.3,21.1,51.1,32.7
95,2,02M260,M.S. 260 Clinton School Writers & Artists,2014-15,76.3,23.7,15.2,6.3,14.1,61.1,20.7
96,2,02M260,M.S. 260 Clinton School Writers & Artists,2015-16,72.3,27.7,13.8,5.9,10.1,65.4,14.6
97,2,02M260,M.S. 260 Clinton School Writers & Artists,2016-17,68.1,31.9,12.9,5.1,11.2,64.2,10.6
98,2,02M260,M.S. 260 Clinton School Writers & Artists,2017-18,68.2,31.8,12.6,4.6,11.4,64.1,13.6
99,2,02M276,Battery Park City School,2013-14,48.0,52.0,22.7,4.5,12.6,54.4,11.8
100,2,02M276,Battery Park City School,2014-15,47.4,52.6,22.3,4.6,11.6,55.4,9.0
101,2,02M276,Battery Park City School,2015-16,47.9,52.1,20.5,4.4,10.9,56.3,7.1
102,2,02M276,Battery Park City School,2016-17,47.1,52.9,19.9,4.9,10.6,56.7,8.7
103,2,02M276,Battery Park City School,2017-18,47.8,52.2,19.6,4.1,13.2,54.1,12.6
104,2,02M289,I.S. 289,2013-14,55.3,44.7,34.8,9.9,15.0,38.9,38.9
105,2,02M289,I.S. 289,2014-15,54.1,45.9,35.3,7.9,15.8,38.4,34.6
106,2,02M289,I.S. 289,2015-16,54.7,45.3,38.4,8.3,12.8,38.1,41.9
107,2,02M289,I.S. 289,2016-17,52.3,47.7,42.0,5.7,12.1,37.7,43.8
108,2,02M289,I.S. 289,2017-18,47.3,52.7,44.2,3.9,11.3,38.5,50.2
109,2,02M297,M.S. 297,2017-18,51.8,48.2,8.8,9.3,19.2,60.1,30.1
110,2,02M312,New York City Lab Middle School for Collaborative,2013-14,49.9,50.1,41.2,2.8,8.9,39.1,32.5
111,2,02M312,New York City Lab Middle School for Collaborative,2014-15,49.1,50.9,44.6,2.0,7.2,38.4,34.6
112,2,02M312,New York City Lab Middle School for Collaborative,2015-16,49.2,50.8,46.8,2.4,7.4,34.3,28.9
113,2,02M312,New York City Lab Middle School for Collaborative,2016-17,39.2,60.8,51.9,1.8,5.7,33.5,30.3
114,2,02M312,New York City Lab Middle School for Collaborative,2017-18,41.3,58.7,55.1,2.0,6.5,30.0,38.3
115,2,02M347,The 47 American Sign Language & English Lower Scho,2013-14,53.3,46.7,2.3,20.1,44.4,29.9,68.2
116,2,02M347,The 47 American Sign Language & English Lower Scho,2014-15,50.5,49.5,3.1,23.0,49.0,21.4,69.9
117,2,02M347,The 47 American Sign Language & English Lower Scho,2015-16,49.2,50.8,3.7,22.2,46.0,23.3,67.2
118,2,02M347,The 47 American Sign Language & English Lower Scho,2016-17,49.7,50.3,2.6,21.5,45.6,22.6,64.1
119,2,02M347,The 47 American Sign Language & English Lower Scho,2017-18,51.8,48.2,3.0,19.8,43.1,25.4,61.9
120,2,02M397,Spruce Street School,2013-14,46.7,53.3,15.5,2.5,12.2,56.9,8.3
121,2,02M397,Spruce Street School,2014-15,47.4,52.6,14.2,2.6,12.3,57.7,9.1
122,2,02M397,Spruce Street School,2015-16,49.0,51.0,13.8,2.7,12.4,58.2,11.1
123,2,02M397,Spruce Street School,2016-17,50.0,50.0,15.6,3.3,12.6,55.1,12.4
124,2,02M397,Spruce Street School,2017-18,49.0,51.0,15.8,3.3,13.9,55.1,13.2
125,2,02M422,Quest to Learn,2015-16,31.7,68.3,10.9,19.2,35.0,29.2,46.2
126,2,02M422,Quest to Learn,2013-14,29.3,70.7,9.2,14.4,34.3,36.8,42.1
127,2,02M422,Quest to Learn,2014-15,28.7,71.3,9.6,15.4,36.2,33.9,42.4
128,2,02M422,Quest to Learn,2016-17,31.7,68.3,11.0,20.2,40.4,22.7,54.1
129,2,02M422,Quest to Learn,2017-18,36.9,63.1,10.8,22.0,42.7,20.3,68.4
130,2,02M407,Institute for Collaborative Education,2013-14,49.4,50.6,7.7,12.0,17.1,54.3,23.9
131,2,02M407,Institute for Collaborative Education,2014-15,48.1,51.9,6.6,14.5,15.6,56.4,18.9
132,2,02M407,Institute for Collaborative Education,2015-16,49.0,51.0,6.8,15.7,15.9,54.8,18.2
133,2,02M407,Institute for Collaborative Education,2016-17,50.0,50.0,6.8,17.5,17.1,51.9,20.8
134,2,02M407,Institute for Collaborative Education,2017-18,46.7,53.3,6.9,19.1,16.7,52.0,25.0
135,2,02M408,Professional Performing Arts High School,2013-14,74.4,25.6,4.9,24.2,21.1,47.3,33.8
136,2,02M408,Professional Performing Arts High School,2014-15,73.1,26.9,3.2,23.3,20.3,47.2,33.4
137,2,02M408,Professional Performing Arts High School,2015-16,74.5,25.5,4.8,22.7,20.1,43.6,34.4
138,2,02M408,Professional Performing Arts High School,2016-17,75.6,24.4,6.4,19.3,19.9,41.0,29.0
139,2,02M408,Professional Performing Arts High School,2017-18,74.9,25.1,6.5,21.2,21.4,42.7,36.5
140,2,02M413,School of the Future High School,2013-14,50.9,49.1,15.9,12.0,27.8,35.7,39.0
141,2,02M413,School of the Future High School,2014-15,50.8,49.2,14.6,10.4,30.3,35.8,37.7
142,2,02M413,School of the Future High School,2015-16,49.9,50.1,15.1,11.1,28.9,36.7,36.1
143,2,02M413,School of the Future High School,2016-17,48.9,51.1,15.6,11.4,27.9,37.1,33.7
144,2,02M413,School of the Future High School,2017-18,47.7,52.3,17.1,11.1,26.4,36.4,38.9
145,2,02M442,"Ballet Tech, NYC Public School for Dance",2013-14,59.7,40.3,39.6,26.8,18.1,12.8,61.7
146,2,02M442,"Ballet Tech, NYC Public School for Dance",2014-15,56.7,43.3,37.3,24.0,16.0,19.3,63.3
147,2,02M442,"Ballet Tech, NYC Public School for Dance",2015-16,53.3,46.7,36.2,25.0,15.8,19.1,55.9
148,2,02M442,"Ballet Tech, NYC Public School for Dance",2016-17,54.0,46.0,30.0,29.3,17.3,18.7,55.3
149,2,02M442,"Ballet Tech, NYC Public School for Dance",2017-18,49.6,50.4,31.9,19.1,21.3,22.0,53.2
150,2,02M655,Life Sciences Secondary School,2013-14,51.0,49.0,3.5,27.5,64.2,3.0,76.9
151,2,02M655,Life Sciences Secondary School,2014-15,50.2,49.8,3.7,29.1,62.3,3.2,75.0
152,2,02M655,Life Sciences Secondary School,2015-16,48.2,51.8,4.9,31.0,59.9,1.8,74.0
153,2,02M655,Life Sciences Secondary School,2016-17,49.1,50.9,4.7,30.4,58.5,3.2,72.9
154,2,02M655,Life Sciences Secondary School,2017-18,51.2,48.8,6.6,29.1,58.7,3.3,81.5
155,2,02M896,Lower Manhattan Community Middle School,2013-14,45.4,54.6,38.6,17.1,26.0,15.7,68.9
156,2,02M896,Lower Manhattan Community Middle School,2014-15,47.5,52.5,40.2,13.7,20.8,21.9,59.8
157,2,02M896,Lower Manhattan Community Middle School,2015-16,51.0,49.0,40.2,9.3,19.8,27.3,55.7
158,2,02M896,Lower Manhattan Community Middle School,2016-17,51.8,48.2,44.0,9.6,16.6,27.5,57.5
159,2,02M896,Lower Manhattan Community Middle School,2017-18,52.7,47.3,42.6,10.9,16.6,27.5,57.4
160,2,02M933,City Knoll Middle School,2014-15,63.3,36.7,7.6,21.5,48.1,19.0,72.2
161,2,02M933,City Knoll Middle School,2015-16,58.0,42.0,9.6,19.7,47.1,19.7,68.2
162,2,02M933,City Knoll Middle School,2016-17,57.1,42.9,10.1,19.8,50.2,16.6,74.9
163,2,02M933,City Knoll Middle School,2017-18,50.0,50.0,9.7,25.4,50.8,9.7,74.2
2524,2,02M001,P.S. 001 Alfred E. Smith,2017-18,0.5,0.5,0.54,0.18,0.26,0.02,80.8
2525,2,02M001,P.S. 001 Alfred E. Smith,2018-19,0.46,0.54,0.5,0.18,0.28,0.02,77.6
2526,2,02M001,P.S. 001 Alfred E. Smith,2019-20,0.45,0.55,0.45,0.22,0.26,0.06,76.5
2527,2,02M001,P.S. 001 Alfred E. Smith,2020-21,0.46,0.55,0.48,0.23,0.23,0.06,76.8
2528,2,02M001,P.S. 001 Alfred E. Smith,2021-22,0.47,0.53,0.37,0.26,0.28,0.06,74.4
2529,2,02M002,P.S. 002 Meyer London,2017-18,0.47,0.53,0.79,0.05,0.15,0.01,95.0
2530,2,02M002,P.S. 002 Meyer London,2018-19,0.46,0.55,0.76,0.08,0.15,0.01,93.2
2531,2,02M002,P.S. 002 Meyer London,2019-20,0.47,0.53,0.7,0.1,0.18,0.02,95.0
2532,2,02M002,P.S. 002 Meyer London,2020-21,0.46,0.54,0.68,0.1,0.18,0.03,95.0
2533,2,02M002,P.S. 002 Meyer London,2021-22,0.46,0.54,0.64,0.13,0.2,0.03,92.2
2534,2,02M003,P.S. 003 Charrette School,2017-18,0.49,0.51,0.09,0.06,0.14,0.67,21.9
2535,2,02M003,P.S. 003 Charrette School,2018-19,0.49,0.51,0.09,0.05,0.16,0.63,23.0
2536,2,02M003,P.S. 003 Charrette School,2019-20,0.47,0.53,0.09,0.06,0.15,0.65,19.2
2537,2,02M003,P.S. 003 Charrette School,2020-21,0.48,0.52,0.08,0.06,0.17,0.65,20.0
2538,2,02M003,P.S. 003 Charrette School,2021-22,0.46,0.54,0.08,0.05,0.17,0.66,23.2
2539,2,02M006,P.S. 006 Lillie D. Blake,2017-18,0.49,0.51,0.15,0.02,0.06,0.74,12.0
2540,2,02M006,P.S. 006 Lillie D. Blake,2018-19,0.51,0.49,0.17,0.02,0.06,0.73,12.4
2541,2,02M006,P.S. 006 Lillie D. Blake,2019-20,0.51,0.49,0.19,0.02,0.08,0.69,8.8
2542,2,02M006,P.S. 006 Lillie D. Blake,2020-21,0.51,0.49,0.2,0.02,0.1,0.67,11.7
2543,2,02M006,P.S. 006 Lillie D. Blake,2021-22,0.53,0.47,0.17,0.02,0.12,0.65,10.5
2544,2,02M011,P.S. 011 William T. Harris,2017-18,0.5,0.5,0.16,0.06,0.24,0.47,30.0
2545,2,02M011,P.S. 011 William T. Harris,2018-19,0.48,0.52,0.15,0.06,0.24,0.46,31.9
2546,2,02M011,P.S. 011 William T. Harris,2019-20,0.49,0.51,0.16,0.07,0.23,0.45,29.1
2547,2,02M011,P.S. 011 William T. Harris,2020-21,0.48,0.52,0.17,0.07,0.24,0.42,32.4
2548,2,02M011,P.S. 011 William T. Harris,2021-22,0.47,0.53,0.17,0.07,0.24,0.43,30.1
2549,2,02M033,P.S. 033 Chelsea Prep,2017-18,0.53,0.47,0.23,0.18,0.28,0.23,48.2
2550,2,02M033,P.S. 033 Chelsea Prep,2018-19,0.5,0.5,0.24,0.18,0.29,0.2,49.4
2551,2,02M033,P.S. 033 Chelsea Prep,2019-20,0.5,0.5,0.24,0.17,0.28,0.21,47.5
2552,2,02M033,P.S. 033 Chelsea Prep,2020-21,0.5,0.5,0.28,0.17,0.27,0.2,49.5
2553,2,02M033,P.S. 033 Chelsea Prep,2021-22,0.49,0.51,0.26,0.19,0.28,0.2,51.2
2554,2,02M040,P.S. 040 Augustus Saint-Gaudens,2017-18,0.51,0.49,0.12,0.02,0.14,0.62,10.0
2555,2,02M040,P.S. 040 Augustus Saint-Gaudens,2018-19,0.5,0.5,0.12,0.02,0.14,0.62,12.1
2556,2,02M040,P.S. 040 Augustus Saint-Gaudens,2019-20,0.52,0.48,0.14,0.02,0.14,0.6,9.7
2557,2,02M040,P.S. 040 Augustus Saint-Gaudens,2020-21,0.49,0.51,0.15,0.02,0.16,0.58,13.2
2558,2,02M040,P.S. 040 Augustus Saint-Gaudens,2021-22,0.48,0.52,0.14,0.02,0.18,0.56,12.9
2559,2,02M041,P.S. 041 Greenwich Village,2017-18,0.54,0.46,0.08,0.01,0.1,0.69,9.4
2560,2,02M041,P.S. 041 Greenwich Village,2018-19,0.51,0.49,0.07,0.01,0.09,0.69,7.2
2561,2,02M041,P.S. 041 Greenwich Village,2019-20,0.48,0.52,0.08,0.01,0.09,0.68,7.5
2562,2,02M041,P.S. 041 Greenwich Village,2020-21,0.48,0.52,0.08,0.01,0.1,0.65,8.1
2563,2,02M041,P.S. 041 Greenwich Village,2021-22,0.51,0.49,0.09,0.01,0.11,0.64,7.7
2564,2,02M042,P.S. 042 Benjamin Altman,2017-18,0.47,0.53,0.89,0.01,0.07,0.02,76.3
2565,2,02M042,P.S. 042 Benjamin Altman,2018-19,0.48,0.52,0.87,0.01,0.08,0.04,72.8
2566,2,02M042,P.S. 042 Benjamin Altman,2019-20,0.47,0.53,0.84,0.02,0.08,0.06,71.3
2567,2,02M042,P.S. 042 Benjamin Altman,2020-21,0.49,0.51,0.83,0.02,0.08,0.07,66.2
2568,2,02M042,P.S. 042 Benjamin Altman,2021-22,0.48,0.52,0.78,0.02,0.08,0.09,58.9
2569,2,02M047,47 The American Sign Language and English Secondar,2017-18,0.74,0.26,0.02,0.28,0.65,0.03,88.5
2570,2,02M047,47 The American Sign Language and English Secondar,2018-19,0.71,0.29,0.03,0.28,0.64,0.05,88.3
2571,2,02M047,47 The American Sign Language and English Secondar,2019-20,0.71,0.29,0.03,0.25,0.67,0.03,82.8
2572,2,02M047,47 The American Sign Language and English Secondar,2020-21,0.68,0.32,0.02,0.23,0.72,0.02,87.4
2573,2,02M047,47 The American Sign Language and English Secondar,2021-22,0.65,0.35,0.02,0.19,0.74,0.03,83.1
2574,2,02M051,P.S. 051 Elias Howe,2017-18,0.51,0.49,0.18,0.16,0.45,0.18,59.4
2575,2,02M051,P.S. 051 Elias Howe,2018-19,0.51,0.49,0.13,0.15,0.48,0.22,57.8
2576,2,02M051,P.S. 051 Elias Howe,2019-20,0.48,0.52,0.14,0.14,0.46,0.22,57.6
2577,2,02M051,P.S. 051 Elias Howe,2020-21,0.48,0.52,0.13,0.16,0.48,0.2,57.4
2578,2,02M051,P.S. 051 Elias Howe,2021-22,0.46,0.54,0.12,0.18,0.47,0.2,57.7
2579,2,02M059,P.S. 059 Beekman Hill International,2017-18,0.51,0.49,0.18,0.01,0.1,0.61,9.4
2580,2,02M059,P.S. 059 Beekman Hill International,2018-19,0.51,0.49,0.2,0.01,0.1,0.58,11.5
2581,2,02M059,P.S. 059 Beekman Hill International,2019-20,0.53,0.47,0.22,0.02,0.09,0.58,8.3
2582,2,02M059,P.S. 059 Beekman Hill International,2020-21,0.52,0.48,0.22,0.02,0.09,0.58,8.0
2583,2,02M059,P.S. 059 Beekman Hill International,2021-22,0.49,0.51,0.24,0.02,0.08,0.58,11.5
2584,2,02M077,P.S. 77 Lower Lab School,2017-18,0.49,0.51,0.31,0.0,0.06,0.51,5.6
2585,2,02M077,P.S. 77 Lower Lab School,2018-19,0.48,0.52,0.33,0.0,0.05,0.51,11.7
2586,2,02M077,P.S. 77 Lower Lab School,2019-20,0.48,0.52,0.38,0.0,0.06,0.42,11.0
2587,2,02M077,P.S. 77 Lower Lab School,2020-21,0.49,0.51,0.45,0.0,0.05,0.36,10.0
2588,2,02M077,P.S. 77 Lower Lab School,2021-22,0.52,0.48,0.46,0.0,0.06,0.35,11.6
2589,2,02M089,P.S. 89,2017-18,0.49,0.51,0.17,0.02,0.14,0.59,20.1
2590,2,02M089,P.S. 89,2018-19,0.48,0.52,0.19,0.02,0.12,0.59,9.0
2591,2,02M089,P.S. 89,2019-20,0.47,0.53,0.2,0.01,0.11,0.6,5.9
2592,2,02M089,P.S. 89,2020-21,0.5,0.5,0.22,0.01,0.09,0.56,5.3
2593,2,02M089,P.S. 89,2021-22,0.52,0.48,0.23,0.01,0.11,0.53,6.1
2594,2,02M104,J.H.S. 104 Simon Baruch,2017-18,0.47,0.53,0.34,0.08,0.19,0.35,45.1
2595,2,02M104,J.H.S. 104 Simon Baruch,2018-19,0.48,0.52,0.35,0.08,0.18,0.35,43.4
2596,2,02M104,J.H.S. 104 Simon Baruch,2019-20,0.46,0.54,0.36,0.07,0.19,0.32,45.8
2597,2,02M104,J.H.S. 104 Simon Baruch,2020-21,0.47,0.53,0.39,0.06,0.17,0.32,44.2
2598,2,02M104,J.H.S. 104 Simon Baruch,2021-22,0.48,0.52,0.38,0.06,0.18,0.33,41.4
2599,2,02M111,P.S. 111 Adolph S. Ochs,2017-18,0.45,0.55,0.17,0.15,0.48,0.17,62.3
2600,2,02M111,P.S. 111 Adolph S. Ochs,2018-19,0.46,0.54,0.16,0.14,0.47,0.2,58.4
2601,2,02M111,P.S. 111 Adolph S. Ochs,2019-20,0.47,0.53,0.14,0.15,0.5,0.19,55.3
2602,2,02M111,P.S. 111 Adolph S. Ochs,2020-21,0.48,0.52,0.14,0.15,0.49,0.19,60.6
2603,2,02M111,P.S. 111 Adolph S. Ochs,2021-22,0.46,0.54,0.13,0.14,0.46,0.24,60.6
2604,2,02M114,East Side Middle School,2017-18,0.55,0.45,0.12,0.04,0.09,0.68,11.1
2605,2,02M114,East Side Middle School,2018-19,0.57,0.43,0.14,0.03,0.12,0.64,16.2
2606,2,02M114,East Side Middle School,2019-20,0.57,0.43,0.16,0.03,0.11,0.61,13.8
2607,2,02M114,East Side Middle School,2020-21,0.56,0.44,0.2,0.04,0.12,0.57,16.8
2608,2,02M114,East Side Middle School,2021-22,0.54,0.46,0.2,0.06,0.16,0.52,20.4
2609,2,02M116,P.S. 116 Mary Lindley Murray,2017-18,0.51,0.49,0.21,0.12,0.2,0.4,36.4
2610,2,02M116,P.S. 116 Mary Lindley Murray,2018-19,0.54,0.46,0.22,0.09,0.2,0.43,33.3
2611,2,02M116,P.S. 116 Mary Lindley Murray,2019-20,0.53,0.47,0.22,0.08,0.19,0.44,32.8
2612,2,02M116,P.S. 116 Mary Lindley Murray,2020-21,0.55,0.45,0.22,0.1,0.2,0.43,33.2
2613,2,02M116,P.S. 116 Mary Lindley Murray,2021-22,0.57,0.43,0.21,0.07,0.21,0.44,33.3
2614,2,02M124,P.S. 124 Yung Wing,2017-18,0.49,0.51,0.94,0.0,0.02,0.02,56.4
2615,2,02M124,P.S. 124 Yung Wing,2018-19,0.5,0.5,0.94,0.0,0.02,0.02,54.1
2616,2,02M124,P.S. 124 Yung Wing,2019-20,0.5,0.5,0.92,0.0,0.02,0.03,49.9
2617,2,02M124,P.S. 124 Yung Wing,2020-21,0.49,0.51,0.92,0.0,0.02,0.02,50.2
2618,2,02M124,P.S. 124 Yung Wing,2021-22,0.47,0.53,0.91,0.0,0.02,0.02,47.1
2619,2,02M126,P.S. 126 Jacob August Riis,2017-18,0.46,0.54,0.62,0.09,0.18,0.08,80.0
2620,2,02M126,P.S. 126 Jacob August Riis,2018-19,0.48,0.52,0.64,0.09,0.17,0.07,77.0
2621,2,02M126,P.S. 126 Jacob August Riis,2019-20,0.49,0.51,0.66,0.08,0.18,0.05,75.4
2622,2,02M126,P.S. 126 Jacob August Riis,2020-21,0.47,0.53,0.64,0.09,0.17,0.06,76.2
2623,2,02M126,P.S. 126 Jacob August Riis,2021-22,0.47,0.53,0.61,0.1,0.2,0.05,78.7
2624,2,02M130,P.S. 130 Hernando De Soto,2017-18,0.48,0.52,0.87,0.01,0.05,0.03,48.4
2625,2,02M130,P.S. 130 Hernando De Soto,2018-19,0.47,0.53,0.87,0.01,0.06,0.03,46.2
2626,2,02M130,P.S. 130 Hernando De Soto,2019-20,0.48,0.52,0.87,0.0,0.05,0.03,46.7
2627,2,02M130,P.S. 130 Hernando De Soto,2020-21,0.49,0.51,0.86,0.01,0.05,0.03,48.3
2628,2,02M130,P.S. 130 Hernando De Soto,2021-22,0.48,0.52,0.88,0.0,0.04,0.02,47.6
2629,2,02M131,M.S. 131,2017-18,0.43,0.57,0.81,0.06,0.11,0.02,93.6
2630,2,02M131,M.S. 131,2018-19,0.4,0.6,0.8,0.06,0.11,0.02,89.5
2631,2,02M131,M.S. 131,2019-20,0.41,0.59,0.73,0.09,0.15,0.02,89.1
2632,2,02M131,M.S. 131,2020-21,0.44,0.56,0.61,0.14,0.21,0.03,87.3
2633,2,02M131,M.S. 131,2021-22,0.47,0.53,0.61,0.14,0.21,0.04,92.9
2634,2,02M135,The Urban Assembly School for Emergency Management,2017-18,0.5,0.5,0.06,0.3,0.59,0.03,81.9
2635,2,02M135,The Urban Assembly School for Emergency Management,2018-19,0.53,0.47,0.06,0.29,0.6,0.03,84.5
2636,2,02M135,The Urban Assembly School for Emergency Management,2019-20,0.52,0.48,0.05,0.29,0.62,0.03,80.9
2637,2,02M135,The Urban Assembly School for Emergency Management,2020-21,0.56,0.44,0.06,0.3,0.6,0.03,86.4
2638,2,02M135,The Urban Assembly School for Emergency Management,2021-22,0.61,0.39,0.05,0.31,0.59,0.03,74.9
2639,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2017-18,0.32,0.68,0.02,0.26,0.66,0.05,84.5
2640,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2018-19,0.36,0.64,0.04,0.26,0.63,0.04,81.3
2641,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2019-20,0.37,0.63,0.04,0.25,0.62,0.05,82.5
2642,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2020-21,0.38,0.62,0.04,0.25,0.62,0.04,82.8
2643,2,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,2021-22,0.43,0.57,0.04,0.24,0.64,0.04,83.3
2644,2,02M150,P.S. 150,2017-18,0.47,0.53,0.21,0.01,0.11,0.58,12.8
2645,2,02M150,P.S. 150,2018-19,0.48,0.52,0.21,0.0,0.1,0.6,18.0
2646,2,02M150,P.S. 150,2019-20,0.45,0.55,0.3,0.0,0.09,0.5,20.0
2647,2,02M150,P.S. 150,2020-21,0.47,0.53,0.27,0.0,0.11,0.48,10.6
2648,2,02M150,P.S. 150,2021-22,0.5,0.5,0.26,0.02,0.13,0.44,11.5
2649,2,02M151,Yorkville Community School,2017-18,0.49,0.51,0.07,0.15,0.22,0.5,43.3
2650,2,02M151,Yorkville Community School,2018-19,0.52,0.48,0.07,0.15,0.24,0.49,38.5
2651,2,02M151,Yorkville Community School,2019-20,0.51,0.49,0.07,0.13,0.25,0.48,37.5
2652,2,02M151,Yorkville Community School,2020-21,0.48,0.52,0.08,0.12,0.26,0.48,38.1
2653,2,02M151,Yorkville Community School,2021-22,0.48,0.52,0.1,0.13,0.24,0.47,34.5
2654,2,02M158,P.S. 158 Bayard Taylor,2017-18,0.48,0.52,0.12,0.03,0.08,0.72,12.2
2655,2,02M158,P.S. 158 Bayard Taylor,2018-19,0.48,0.52,0.13,0.02,0.08,0.7,12.6
2656,2,02M158,P.S. 158 Bayard Taylor,2019-20,0.48,0.52,0.13,0.02,0.08,0.7,10.1
2657,2,02M158,P.S. 158 Bayard Taylor,2020-21,0.48,0.52,0.13,0.02,0.08,0.7,8.5
2658,2,02M158,P.S. 158 Bayard Taylor,2021-22,0.5,0.5,0.13,0.02,0.09,0.68,11.7
2659,2,02M167,J.H.S. 167 Robert F. Wagner,2017-18,0.47,0.53,0.21,0.06,0.16,0.52,31.4
2660,2,02M167,J.H.S. 167 Robert F. Wagner,2018-19,0.45,0.55,0.18,0.07,0.16,0.53,31.0
