,district,dbn,total enrollment,total funding,total federal funding,total city/state,per pupil funding
230,2,M255,390,6924754,191033,6733721,17755.779
231,2,M260,489,10025752,142241,9883511,20502.56
232,2,M276,850,17488085,833525,16654561,20574.218
233,2,M289,281,5921185,80010,5841176,21071.833
234,2,M312,541,10860428,203805,10656623,20074.728
235,2,M347,195,11940374,1738861,10201513,61232.687
236,2,M397,508,10684421,887876,9796545,21032.325
237,2,M407,486,7474723,150697,7324026,15380.088
238,2,M413,763,14942171,413950,14528221,19583.448
239,2,M422,643,14264860,461081,13803779,22184.852
240,2,M442,150,3821582,37286,3784296,25477.213
241,2,M655,632,12951811,723110,12228701,20493.372
242,2,M896,386,12277372,476874,11800497,31806.663
243,2,M933,247,8236524,286647,7949877,33346.251
244,11,X019,517,11394773,1008981,10385792,22040.18
245,11,X083,1750,35758194,2983971,32774223,20433.254
246,11,X089,1510,31635460,4736063,26899397,20950.636
247,11,X127,776,17315167,1848044,15467123,22313.36
248,11,X144,497,12709897,1513431,11196466,25573.233
249,11,X175,344,7412628,322062,7090566,21548.337
250,11,X180,880,21255446,772465,20482981,24153.916
251,11,X181,850,21334505,1661348,19673157,25099.418
252,11,X194,1345,28601970,3672951,24929018,21265.405
253,11,X287,263,6865449,1019634,5845816,26104.369
254,11,X326,394,9005828,923562,8082265,22857.431
255,11,X566,469,10706160,555760,10150399,22827.633
256,11,X355,332,8426453,993803,7432649,25380.883
257,11,X370,393,13744078,1853467,11890611,34972.209
258,11,X462,264,6480075,579700,5900375,24545.739
259,11,X468,333,8060932,571788,7489144,24207.003
260,19,K089,462,12933169,1158734,11774435,27993.872
261,11,X498,638,14724838,1056519,13668320,23079.683
262,11,X529,343,10128882,391274,9737608,29530.268
263,11,X532,304,7296171,351460,6944712,24000.562
264,11,X556,394,9533537,880685,8652852,24196.794
265,19,K171,458,12505937,1459515,11046423,27305.539
266,19,K218,392,11040902,1459973,9580929,28165.566
267,19,K292,579,14514306,1748305,12766001,25067.886
268,19,K364,322,9215627,619359,8596268,28619.96
269,5,M517,273,6531128,732874,5798254,23923.546
270,19,K404,558,13388099,970618,12417481,23993.009
271,19,K409,511,12033359,793818,11239540,23548.648
272,19,K422,397,9897706,703985,9193720,24931.249
273,19,K452,324,7808762,607133,7201629,24101.117
274,19,K654,306,7558699,658758,6899941,24701.631
275,19,K661,381,9370539,844483,8526056,24594.591
276,19,K662,443,11028153,916521,10111632,24894.251
277,19,K663,144,4297007,198213,4098794,29840.326
278,19,K678,249,7371989,752188,6619800,29606.382
279,19,K760,298,7010901,377126,6633775,23526.513
280,22,K014,534,16117109,1755361,14361748,30181.852
281,22,K078,588,15080282,1790370,13289913,25646.738
282,22,K109,682,19184232,3116314,16067917,28129.372
283,22,K206,1492,29047308,3121009,25926299,19468.705
284,22,K207,1292,28021722,1727088,26294635,21688.639
285,22,K234,1982,34310314,1423273,32887042,17310.956
286,22,K240,791,17668998,1703215,15965783,22337.545
287,22,K278,1031,25069340,2166932,22902408,24315.558
288,22,K381,290,7511361,572499,6938862,25901.245
289,30,Q010,754,16063970,1394513,14669458,21305.0
290,30,Q078,648,12734290,1266608,11467682,19651.682
291,30,Q111,284,11032823,2223259,8809564,38847.968
292,30,Q122,1366,25027967,1970336,23057631,18322.084
293,30,Q126,625,13735966,1120155,12615811,21977.546
294,30,Q127,1262,27487750,3647396,23840354,21781.101
295,30,Q141,1120,19957818,1350933,18606885,17819.48
296,30,Q145,1865,38501543,3773310,34728232,20644.259
297,30,Q204,495,12107183,1269802,10837381,24458.956
298,30,Q227,1578,34261285,2119068,32142217,21711.841
299,30,Q230,1307,25827290,1770810,24056479,19760.742
300,30,Q286,558,11490518,508190,10982329,20592.326
301,30,Q291,410,9411791,195344,9216447,22955.588
302,30,Q300,370,6464310,190927,6273383,17471.108
303,3,M054,850,16057867,915279,15142589,18891.608
304,3,M076,508,11974695,1844887,10129808,23572.234
305,3,M149,256,8807389,1601953,7205436,34403.863
306,3,M165,731,16323234,2333628,13989606,22330.005
307,3,M250,190,5071110,319169,4751941,26690.053
308,3,M180,591,14318967,2738287,11580679,24228.371
309,3,M191,425,13508002,2340133,11167869,31783.534
310,3,M243,234,4383586,89714,4293872,18733.274
311,3,M245,401,7751673,337678,7413995,19330.855
312,3,M247,211,5097344,279519,4817825,24158.028
313,3,M256,149,4606491,363309,4243182,30916.047
314,3,M258,223,6169195,572667,5596528,27664.552
315,3,M291,240,9559964,202511,9357454,39833.183
316,3,M333,756,17668932,1090416,16578517,23371.603
317,3,M334,551,10024208,849622,9174586,18192.755
318,3,M415,309,10596375,930001,9666374,34292.476
319,3,M421,201,5338890,335741,5003150,26561.642
320,3,M859,314,6841572,196068,6645504,21788.446
321,3,M860,386,8803648,756147,8047502,22807.378
322,3,M862,342,6477638,121459,6356180,18940.462
323,9,X004,574,16031407,2852062,13179345,27929.28
324,9,X022,419,14360913,2185336,12175576,34274.255
325,9,X117,562,18543256,2464916,16078340,32995.117
326,9,X128,360,7239817,514129,6725688,20110.603
327,9,X215,256,6290940,338640,5952300,24573.984
328,9,X218,998,23699447,2696493,21002954,23746.941
329,9,X219,311,10536140,1294650,9241490,33878.264
330,9,X229,237,9514209,685721,8828488,40144.342
331,9,X231,526,12676254,1074137,11602117,24099.342
332,9,X232,476,11514908,1386146,10128762,24190.983
333,9,X241,635,15261911,1936216,13325694,24034.506
334,9,X303,320,8746861,878839,7868023,27333.941
335,9,X313,308,10294751,1405560,8889191,33424.516
336,9,X323,451,11316204,1284336,10031868,25091.361
337,9,X324,549,12205072,971316,11233756,22231.461
338,10,X279,1125,25460864,3244267,22216598,22631.879
339,9,X325,254,8326939,820160,7506778,32783.224
340,9,X327,719,15427199,1141137,14286062,21456.466
341,9,X328,199,5909739,614146,5295593,29697.181
342,9,X339,491,16780515,1618371,15162145,34176.202
343,23,K137,293,9272605,1274903,7997701,31647.116
344,9,X350,251,8652536,1102055,7550481,34472.255
345,9,X361,391,11009523,1254026,9755497,28157.348
346,9,X413,410,9991593,543619,9447974,24369.739
347,9,X454,433,10158141,712593,9445548,23459.91
348,29,Q059,573,12274904,777502,11497402,21422.171
349,9,X505,774,17375350,1113985,16261364,22448.773
350,9,X568,400,9171706,680557,8491148,22929.265
351,10,X003,339,10230418,1890886,8339532,30178.224
352,10,X015,505,12336507,1742633,10593875,24428.727
353,10,X020,1075,26618135,3581578,23036557,24761.056
354,10,X037,623,17397298,1859732,15537566,27925.037
355,10,X045,717,15960802,2164493,13796309,22260.533
356,10,X080,655,19111157,1534337,17576819,29177.339
