,district,dbn,total enrollment,total funding,total federal funding,total city/state,per pupil funding
0,6,M018,395,10348498,1233754,9114745,26198.729
1,6,M052,411,11054627,1461937,9592689,26896.903
2,6,M143,361,10090008,1351202,8738806,27950.161
3,6,M187,802,15402465,1183433,14219032,19205.069
4,6,M209,165,4042690,136616,3906074,24501.152
5,6,M210,446,10662578,1291603,9370976,23907.126
6,6,M218,229,6996904,724050,6272854,30554.166
7,6,M223,274,6831328,349482,6481845,24931.854
8,6,M278,533,11201132,964524,10236608,21015.257
9,6,M293,609,11715144,665510,11049634,19236.69
10,6,M311,431,9123578,925810,8197768,21168.394
11,6,M319,534,13346260,1292801,12053460,24992.996
12,6,M322,319,8060104,957651,7102453,25266.784
13,6,M324,449,11116111,997587,10118524,24757.486
14,6,M328,148,5507626,603760,4903866,37213.689
15,6,M346,645,13774379,993247,12781132,21355.626
16,6,M348,760,15815351,1584125,14231226,20809.672
17,6,M349,137,3720077,301268,3418809,27153.847
18,6,M366,511,10793843,1465364,9328479,21122.98
19,6,M528,206,5582663,664423,4918240,27100.306
20,7,X005,760,17799409,2832497,14966912,23420.275
21,7,X029,758,18702607,3691324,15011283,24673.624
22,7,X031,747,17193219,2965140,14228080,23016.357
23,7,X151,255,7230753,844595,6386159,28355.894
24,20,K201,1474,25839634,2106746,23732887,17530.281
25,7,X221,654,14314332,1565280,12749052,21887.358
26,7,X223,595,12925321,1834463,11090858,21723.229
27,7,X224,367,8793094,1209757,7583338,23959.384
28,7,X296,336,9450158,1738935,7711223,28125.47
29,27,Q183,586,13983550,1719374,12264176,23862.713
30,7,X298,312,8256562,739291,7517272,26463.34
31,7,X343,304,7307581,917739,6389841,24038.095
32,7,X500,520,10504201,887012,9617189,20200.387
33,7,X551,600,13256435,990758,12265677,22094.058
34,20,K030,715,16071158,959113,15112045,22477.144
35,20,K062,1191,24995691,2711557,22284134,20987.146
36,20,K104,1236,25290072,1095637,24194435,20461.223
37,20,K163,629,13682893,1327549,12355344,21753.407
38,20,K180,1116,26939181,3717738,23221443,24139.051
39,20,K187,999,19369903,599465,18770439,19389.292
40,20,K192,687,16341745,2762436,13579309,23787.111
41,20,K220,1435,27461897,2716436,24745461,19137.21
42,21,K690,917,16975158,1302412,15672746,18511.623
43,20,K223,994,20735833,1911157,18824676,20860.999
44,20,K227,1276,25938282,2782817,23155465,20327.807
45,20,K229,1195,21696479,1422880,20273599,18156.049
46,20,K259,1617,28257341,2339998,25917343,17475.165
47,8,X269,588,14434369,1353427,13080942,24548.247
48,20,K609,529,10233847,798198,9435649,19345.647
49,20,K686,521,9757116,672516,9084600,18727.67
50,21,K095,932,21314128,2802673,18511455,22869.236
51,21,K096,641,16732923,2354566,14378357,26104.404
52,21,K098,1493,25463326,658599,24804727,17055.141
53,21,K099,883,16862715,2023644,14839071,19097.072
54,21,K121,356,11812258,1201828,10610430,33180.5
55,15,K448,679,15823841,1048898,14774943,23304.626
56,21,K209,707,18282559,2466138,15816421,25859.348
57,21,K225,1018,24809141,4602691,20206451,24370.472
58,21,K226,1006,24651084,3954776,20696308,24504.06
